"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Camas hospitalarias (por cada 1.000 personas)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Camas hospitalarias (por cada 1.000 personas)","SH.MED.BEDS.ZS","1.95967692280998","","","","","","","","","","1.72337641157174","","","","","","","","","","","","","","","","","","","","1.00753862157692","","","","","","","","","","","","","","","","0.911870801822378","","","","","","","","","","","","","","",
"Afganistán","AFG","Camas hospitalarias (por cada 1.000 personas)","SH.MED.BEDS.ZS","0.170626997947693","","","","","","","","","","0.199000000953674","","","","","","","","","","","0.275599986314774","","","","","","0.3091000020504","","","0.2497999966","","","","","","","","","","0.3","0.39","0.39","0.39","0.39","0.42","0.42","0.42","0.42","0.42","0.43","0.44","0.53","0.53","0.5","0.5","0.5","0.39","","","",
"","AFW","Camas hospitalarias (por cada 1.000 personas)","SH.MED.BEDS.ZS","0.781043444136633","","","","","","","","","","0.967386135386097","","","","","0.840982978649238","","","","","","","","","","","","","","","1.47477578209514","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Camas hospitalarias (por cada 1.000 personas)","SH.MED.BEDS.ZS","2.06146168708801","","","","","","","","","","2.72099995613098","","","","","","","","","","","","","","","","","","","","1.2913000584","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","",
"Albania","ALB","Camas hospitalarias (por cada 1.000 personas)","SH.MED.BEDS.ZS","5.1026759147644","","","","","","","","","","","","","","","","","","","","4.27169990539551","4.18709993362427","4.16069984436035","4.08620023727417","4.13899993896484","4.13880014419556","4.06969976425171","3.97000002861023","3.93549990653992","4.13210010528564","4.0248999596","3.9986999035","4.0134000778","3.8313999176","3.0171000957","3.1900000572","3.1400001049","3.0499999523","3.0499999523","3.0299999714","3.26","3.26","3.14","3.07","3.01","3.08","3.12","3.09","","3.01","2.99","2.88","2.88","2.89","","","","","","","",
"Andorra","AND","Camas hospitalarias (por cada 1.000 personas)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1800000668","3","3.0899999142","3.2000000477","3.2000000477","2.5899999142","","3.2999999523","","2.7","2.6","2.6","","2.5","","","","","","","","","","","",
"El mundo árabe","ARB","Camas hospitalarias (por cada 1.000 personas)","SH.MED.BEDS.ZS","1.92730133261967","","","","","","","","","","1.91788601895911","","","","","1.58381417404853","","","","","","1.70761035452969","","","","","","","","","1.79558151368166","","","","","","","","","","1.59937259788585","1.64278082410883","1.57643631301916","1.57115086593521","1.60622220459957","1.62247370922383","1.64964359420106","1.61712598375831","1.63901281905848","1.5380736047614","1.54714904454628","1.16239926805954","1.16183105275536","1.15074093621943","2.27464727151356","1.48515560167074","2.073525035262","1.38043402567763","","","",
"Emiratos Árabes Unidos","ARE","Camas hospitalarias (por cada 1.000 personas)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","2.84949994087219","2.87509989738464","","","","","","","","","2.6400001049","","3.0604999065","","","","2.6400001049","","","","2.38","2.28","2.19","2.19","2.19","2.19","1.88","1.88","1.86","1.93","1.93","1.07","1.07","1.15","0.01","1.1","1.36","1.38","","","",
"Argentina","ARG","Camas hospitalarias (por cada 1.000 personas)","SH.MED.BEDS.ZS","6.35225057601929","","","","","","","","","","5.58580017089844","","","","","","","","","","","","","","","","","","","","4.5942997932","","","4.5999999046","","","3.2899999619","","","","4.1","","","","","4","","","","","4.5","4.39","4.59","4.78","4.84","4.96","4.95","4.99","","","",
