"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.235896536124","10.9348841122317","10.8768642716758","10.9341155493843","11.2022314159217","","",
"Afganistán","AFG","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.21245611","5.45767879","3.60296822","3.37097836","2.72002935","2.60708547","3.00128436","2.51257253","2.25547075","2.18811941","1.37000275","1.77506948","1.8606739","2.01440573","2.14110541","2.31911564","1.79805613","","",
"","AFW","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.73858261","5.96825504","4.19123077","4.26046801","5.65923882","4.8206377","4.7187376","4.51627064","4.0603714","5.77788925","4.24956799","4.58056879","4.20151329","4.57540083","3.61568022","4.56262589","5.43269682","5.42673731","5.42673731","","",
"Albania","ALB","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.17498302","8.42607403","8.21088219","8.99717617","9.35447407","9.22509766","8.76739883","8.31045246","7.15889835","7.15455055","8.09464931","8.17873192","8.69735146","8.83011913","8.17427826","8.99154949","9.62167263","9.17743587","9.70960903","","",
"Andorra","AND","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.57007408","18.39809036","31.03397179","30.97673988","28.49878311","19.56167984","24.12333679","22.48754501","25.47265816","17.43620491","19.71747398","17.23160553","13.39249897","9.66256428","18.83205986","13.73325253","10.09278107","12.7514143","18.59891129","","",
"El mundo árabe","ARB","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.56610489","7.58357716","7.80031395","8.08750439","7.94020653","8.37682247","8.5271616","8.52688599","8.52666855","8.52688885","8.52679062","8.52676678","8.52671432","8.52679825","7.77782202","7.89050102","7.89050102","7.43070984","7.2451582","","",
"Argentina","ARG","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.81966019","17.37289047","18.4574852","17.12602234","16.25901031","16.02175903","15.09950352","14.39874649","14.65606117","16.42263222","16.69264221","16.27754211","16.66110992","16.54238701","16.28528023","16.49740791","13.46559525","16.04845238","15.19464302","","",
"Armenia","ARM","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86989188","5.66264772","5.3255291","5.37522793","6.27547503","7.44000816","7.93185902","7.19854832","6.69246149","6.34490108","6.43608856","6.70102024","7.04075384","5.78087997","6.27526045","6.11530304","6.05351543","5.27345705","5.26985884","","",
"Samoa Americana","ASM","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.86253166","12.11715889","10.65088463","12.44891071","12.12656689","11.53017235","8.368083","8.45184517","8.08106136","6.33139181","13.89639091","12.98978615","14.63236332","13.30073166","15.10594082","11.81753826","11.60688305","11.78383064","11.66205025","","",
"Australia","AUS","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.93101501","15.86472416","16.64996147","16.75451469","17.21108055","17.15533638","17.32191086","17.81624222","17.36448097","17.03697205","17.14059448","17.60118103","17.13276291","16.53622627","16.61483383","17.23213387","17.49133492","17.66068268","17.9436779","","",
"Austria","AUT","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.37524509","13.29257965","13.51373005","13.619174","13.02688408","13.67242336","13.78215981","14.09157848","14.38890553","13.75788021","14.00380135","14.31893826","14.51292896","14.37263012","14.34008503","14.69125557","14.9603796","15.2614727","15.49779797","","",
"Azerbaiyán","AZE","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.75029039","4.70852041","3.1739707","3.59660339","3.56857705","4.08037758","3.42304254","3.47901201","2.7472806","3.27685595","3.16282368","2.80984879","3.03978157","2.81386876","3.10102797","3.36770868","3.2885015","2.8152411","2.8122046","","",
"Burundi","BDI","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.94454002","6.66263866","6.37957811","3.71581578","5.80418158","6.22306061","6.48139048","6.32335997","3.78866601","5.47865391","4.86066389","8.22791481","7.11028194","4.43170166","8.08714199","9.19750023","8.52141476","8.52141476","8.52141476","","",
"Bélgica","BEL","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.06895447","12.43329906","12.28861809","13.30540657","14.18376255","13.30252838","13.95556927","13.9552145","14.32183361","14.4049387","14.44359875","14.2811718","14.22089195","14.29947281","14.23663521","14.7019434","14.72358704","15.20698071","14.99570751","","",
"Benin","BEN","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.15978622","6.00176048","4.74779558","4.85716248","5.47668171","4.82977295","5.53186369","3.76954269","3.86888194","4.39692497","5.1466217","5.40438175","5.24533272","5.1337862","4.04461384","3.2251544","3.72647786","4.57917738","2.9630444","","",
