"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.63261996694203","6.24783102029966","6.79565933770209","6.36302653538553","7.51228668328761","8.31144078243246","10.7582094298262","10.6485974202021","11.8778205692272","12.3725882557982","13.0746984448374","12.1599678574734","11.6333545750993","12.5984948980088","12.3967555157716","11.3768059775856","11.9152968390843","12.1755654018144","12.9014385709158","","",
"Afganistán","AFG","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.73297119","6.65036345","9.9371376","15.71056557","18.48848534","16.17664719","18.47561455","21.8033886","15.52872467","21.13860512","21.17189598","22.91737556","21.98381996","16.44546318","18.94781876","19.42013359","16.44491768","","",
"","AFW","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3302718484672","8.90299248009758","9.9917141071153","8.13710621571146","8.78759513561724","8.45415865712988","8.28892582829273","8.79981222140996","8.78577698975434","9.41332436831781","9.60144445748337","10.8475327115353","11.4041781507107","13.9451021335691","15.1949594013865","14.7120335213087","13.2283180714304","11.614186281872","10.9553197897537","","",
"Angola","AGO","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51365387","1.43060005","1.27742219","1.03922689","1.92934799","3.03782797","5.85646009","2.69763899","2.4888041","3.82744408","3.24644589","2.8612268","2.17543125","2.56596041","3.1701467","2.67032242","3.64164376","3.11478901","3.32279158","","",
"Albania","ALB","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.35472393","3.64890242","2.81587577","8.18006611","5.69244719","5.3987956","6.06361103","5.46033096","2.72849321","2.06982613","2.51306105","1.10563171","1.03252077","1.24365366","0.72081369","0.92881185","1.19822311","2.05901504","1.34841347","","",
"Andorra","AND","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"El mundo árabe","ARB","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.173680365267943","0.192934789375118","0.199120692331723","0.396270738788837","0.718534670511752","0.436111153811229","0.705744127760244","0.835723919363858","0.498218265477075","0.620295161002458","0.518875715608768","0.719037020792455","0.529629380445828","0.555470015544749","0.63052797129115","0.364193095851497","0.427164390497018","0.659528871123271","0.426304680503477","","",
"Emiratos Árabes Unidos","ARE","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Argentina","ARG","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03062808","0.20073752","1.96734369","0.34346452","6.29007912","1.18307579","0.32621667","0.22942123","0.92570257","0.28787005","0.31598705","0.58026612","0.52099103","0.44593182","0.52839446","0.28386176","0.30856234","0.43380749","0.30256653","","",
"Armenia","ARM","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.77933121","18.01124001","7.93093824","5.22895432","5.45582008","11.67522335","11.57289124","12.21758938","5.88885784","4.58921719","3.72884226","3.15005517","2.96057177","2.07229877","1.52948999","1.08290088","1.8710475","1.2871294","1.21678329","","",
"Samoa Americana","ASM","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34878898","0.07303306","0.13711631","0","0.04309067","0.15506253","0.13964188","0.1426902","0.18763787","0.02764631","0.12729101","0.05339933","0","0.23532581","0","0","0.01355033","0.02153336","0.08968732","","",
"Australia","AUS","External health expenditure (% of current health expenditure)","SH.XPD.EHEX.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
