"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Riesgo de contraer gastos catastróficos relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Riesgo de contraer gastos catastróficos relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.0826317314444","51.844164755502","49.9628748762521","49.3527440980485","48.8726381131205","48.8606228011498","47.5611555762866","46.0597034280408","46.891503644262","48.5361465337983","48.0045062123251","46.1012170446863",
"Afganistán","AFG","Riesgo de contraer gastos catastróficos relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFW","Riesgo de contraer gastos catastróficos relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.6513498745172","48.0694001660379","","","51.3908812047292","56.2468485421684","55.6655048748389","54.4353340494732","54.7804387895021","53.8021063113204","48.6814674355393","49.3270012714751","47.6686726561849","50.1689901903684","52.2398626578676","46.2405223611395","45.9834831514489","49.2151650876727",
"Angola","AGO","Riesgo de contraer gastos catastróficos relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.5","68.6","63.1","53.9","49.7","30.3","21.6","27.2","23.6","20.2","25.1","28.1","36.4","35.9","35.1","46.3","45.6","49.4",
"Albania","ALB","Riesgo de contraer gastos catastróficos relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Riesgo de contraer gastos catastróficos relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Riesgo de contraer gastos catastróficos relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1893381801006","34.3975221354729","31.1402279110882","34.580005303712","33.8922189427381","32.6003771950988","32.3328844039709","33.3550626076948","30.4660373910384","30.580502063654","","",
"Emiratos Árabes Unidos","ARE","Riesgo de contraer gastos catastróficos relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5.7","7.1","6.3","5.6","4.2","2.8",
"Argentina","ARG","Riesgo de contraer gastos catastróficos relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8","13","15","11.1","9.7","6.1","5.2","4.2","2.8","1.6","1.6","1.7","1.7","2.1","1.6","1.8","1.8","2.2",
"Armenia","ARM","Riesgo de contraer gastos catastróficos relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.6","54","43.1","33.9","30.7","34.1","39","42.7","36.9","34.4","37.5","38.1","42","41.5","38.2","35.7","32.9","25.3",
