"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Riesgo de contraer gastos empobrecedores relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Riesgo de contraer gastos empobrecedores relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.9411736472905","62.7310987467529","62.4647400454408","61.7006146444611","61.4463567481353","60.9743851545531","59.6942365997806","59.2796905387519","59.1293157337574","60.3736294805054","60.1059608884788","58.6572067185496",
"Afganistán","AFG","Riesgo de contraer gastos empobrecedores relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFW","Riesgo de contraer gastos empobrecedores relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.3235423910423","37.9411855741826","","","39.0512849960815","41.2012054920365","42.3199259610491","41.7750887502266","42.8583633191146","42.5530921400587","38.5682424326665","39.4569728872968","38.4221713642581","40.4537703140706","41.3869087312672","36.1419684152211","35.6341612254016","38.1418438090968",
"Angola","AGO","Riesgo de contraer gastos empobrecedores relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.5","50.4","47.9","46.7","45.3","33.1","30.8","31.2","30","27.1","26.5","24.4","25.8","25","25.1","36.5","36.6","39",
"Albania","ALB","Riesgo de contraer gastos empobrecedores relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Riesgo de contraer gastos empobrecedores relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Riesgo de contraer gastos empobrecedores relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.9579590387761","18.7983755025887","16.8630216116989","16.4634192991381","15.9953137105764","15.1814183409967","14.8249439748417","15.377427328567","14.0840619347321","14.5794060272302","","",
"Emiratos Árabes Unidos","ARE","Riesgo de contraer gastos empobrecedores relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.3","0.4","0.3","0.3","0.2","0.1",
"Argentina","ARG","Riesgo de contraer gastos empobrecedores relacionados con la atención quirúrgica (% de personas en riesgo)","SH.SGR.IRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3","12.3","11.6","9.5","8.3","6.4","6.1","5.5","3.9","3.4","3.1","3.8","3.6","3.8","3.1","3.6","3.8","4.3",
