"";"year";"country.code";"income.group";"che_gdp";"gghed_che";"gghed_gdp";"tran_shi";"pvtd_che";"oops_che";"cfa_che";"gfa_che";"chi_che";"phc_che";"gghed_phc_gghed";"gghed_phc_phc";"gghe_gdp";"gghe_gge";"SH.MED.BEDS.ZS";"SH.MED.CMHW.P3";"SH.XPD.CHEX.GD.ZS";"SH.XPD.CHEX.PC.CD";"SH.XPD.GHED.CH.ZS";"SH.XPD.GHED.GD.ZS";"SH.XPD.GHED.GE.ZS";"SH.XPD.PVTD.CH.ZS";"SH.MED.NUMW.P3";"SH.XPD.EHEX.CH.ZS";"SH.MED.PHYS.ZS";"SH.XPD.OOPC.CH.ZS";"SH.UHC.OOPC.10.ZS";"SH.UHC.OOPC.25.ZS";"SH.SGR.CRSK.ZS";"SH.SGR.IRSK.ZS";"country";"coverage";"Aporte fiscal";"Seguridad social";"Seguros privados";"Gasto de bolsillo";"Gasto con recursos externos"
"1";2008;"BHS";"Hi";4,8630805;42,86437225;2,08452892;0;56,52207184;27,804842;42,86437225;40,1892395;2,67513204;NA;NA;NA;2,08452880894927;14,4734500283641;3,2;NA;4,8630805;1489,42724609;42,86437225;2,08452892;13,93126965;56,52207184;4,0471;0,61355883;2,7553;27,804842;NA;NA;NA;NA;"Bahamas";NA;44;6;22;27;1
"2";2011;"BHS";"Hi";5,32418823;44,60736084;2,37497997;0;54,8216629;27,96329498;44,60736084;42,86997223;1,73738825;NA;NA;NA;2,37497988520358;13,8965993282975;2,9;NA;5,32418823;1491,04162598;44,60736084;2,37497997;13,27931595;54,8216629;4,0545;0,57097465;2,3081;27,96329498;NA;NA;NA;NA;"Bahamas";NA;44;6;22;27;1
"3";2017;"BHS";"Hi";6,6088872;55,34870148;3,657933;23,53672409;44,17700577;24,38473701;44,55554581;40,43986893;4,1156745;NA;NA;NA;3,6579329994396;16,8914015142329;2,96;NA;6,83129883;2174,17675781;55,59007645;3,79752398;16,89488029;43,93819809;3,2512;0,4717283;1,97275;24,25292015;NA;NA;NA;NA;"Bahamas";NA;44;6;22;27;1
"4";2007;"ATG";"Hi";4,44986248;51,3323288;2,28421807;0;48,52497864;32,52657318;51,36561584;36,05215836;15,31345558;NA;NA;NA;2,28569925077662;8,45732606792058;2;NA;4,44986248;694,53643799;51,3323288;2,28421807;8,45184517;48,52497864;3,2976;0,1426902;1,7143;32,52657318;NA;NA;NA;NA;"Antigua and Barbuda";NA;28;27;15;29;0
"5";2008;"ATG";"Hi";4,2048173;50,76409531;2,13453746;0;49,04826355;31,90914726;50,76409531;32,06167603;18,7024231;NA;NA;NA;2,13453747631935;8,08106144979508;1,7;NA;4,2048173;673,83752441;50,76409531;2,13453746;8,08106136;49,04826355;NA;0,18763787;0,5269;31,90914726;NA;NA;NA;NA;"Antigua and Barbuda";NA;28;27;15;29;0
"6";2017;"ATG";"Hi";4,87493944;56,1620903;2,73786783;0;43,81507111;26,5686245;56,1620903;27,68916702;28,47292328;NA;NA;NA;2,73786787058527;11,6073884909091;2,89;NA;5,17094231;795,55981445;52,94717407;2,73786783;11,78383064;47,03128815;4,4969;0,02153336;2,86165;30,77209091;NA;NA;NA;NA;"Antigua and Barbuda";NA;28;27;15;29;0
"7";2000;"BRB";"Hi";5,33187246;51,85347748;2,76476121;0;48,14652252;39,37475586;51,09686279;50,87617493;0,22068474;NA;NA;NA;2,76476130233698;12,2769045058055;NA;NA;5,33187246;600,80895996;51,85347748;2,76476121;12,27690411;48,14652252;5,8269;0;1,3444;39,37475586;NA;NA;NA;NA;"Barbados";NA;45;0;8;47;1
"8";2001;"BRB";"Hi";5,52529192;53,28871536;2,94435692;0;46,71128845;38,05859375;52,51065445;52,31808472;0,19256973;NA;NA;NA;2,94435693976101;12,3792680970406;NA;NA;5,52529192;619,33959961;53,28871536;2,94435692;12,37926769;46,71128845;5,7982;0;1,5413;38,05859375;NA;NA;NA;NA;"Barbados";NA;45;0;8;47;1
"9";2005;"BRB";"Hi";6,76892185;57,19828796;3,8717072;0;41,61945724;35,07392883;57,44697571;57,37379074;0,07317959;NA;NA;NA;3,95159757337348;12,4891410273066;6,7;NA;6,76892185;935,64044189;57,19828796;3,8717072;11,7785635;41,61945724;4,7448;1,18225563;1,7698;35,07392883;NA;NA;NA;NA;"Barbados";NA;45;0;8;47;1
"10";2017;"BRB";"Hi";6,62216997;45,35305786;3,0033567;0;52,63700485;45,29132462;47,03517151;46,97772598;0,05744673;NA;NA;NA;3,13645798814785;9,48271355299119;5,97;NA;6,62216997;1151,69372559;45,35305786;3,0033567;9,08029747;52,63700485;3,0189;2,00993466;2,48605;45,29132462;NA;NA;NA;NA;"Barbados";NA;45;0;8;47;1
